,Indivíduo,País de Origem
0,1,Brasil
1,2,Inglaterra
2,3,Japão
3,4,EUA
4,5,Brasil
5,6,China
6,7,Brasil
7,8,Brasil
8,9,Brasil
9,10,EUA
10,11,EUA
11,12,Argentina
12,13,Brasil
13,14,Japão
14,15,Austrália
15,16,Suiça
16,17,Austrália
17,18,Brasil
18,19,EUA
19,20,Brasil
20,21,Brasil
21,22,África do Sul
22,23,África do Sul
23,24,África do Sul
24,25,EUA
25,26,EUA
26,27,China
27,28,Brasil
28,29,Brasil
29,30,Suiça
30,31,Uruguai
31,32,EUA
32,33,EUA
33,34,Uruguai
34,35,Japão
35,36,China
36,37,Alemanha
37,38,Japão
38,39,Japão
39,40,Alemanha
40,41,Alemanha
41,42,México
42,43,Inglaterra
43,44,Inglaterra
44,45,México
45,46,Uruguai
46,47,Uruguai
47,48,Brasil
48,49,Brasil
49,50,China
50,51,Argentina
51,52,Argentina
52,53,EUA
53,54,EUA
54,55,Brasil
55,56,Índia
56,57,Brasil
57,58,Brasil
58,59,China
59,60,Brasil
60,61,Argentina
61,62,Japão
62,63,Rússia
63,64,Rússia
64,65,Rússia
65,66,México
66,67,México
67,68,Brasil
68,69,Brasil
69,70,Brasil
70,71,Brasil
71,72,Alemanha
72,73,Alemanha
73,74,África do Sul
74,75,África do Sul
75,76,Japão
76,77,Japão
77,78,Japão
78,79,Rússia
79,80,Alemanha
80,81,Alemanha
81,82,EUA
82,83,EUA
83,84,Brasil
84,85,Brasil
85,86,Brasil
86,87,Argentina
87,88,Argentina
88,89,Rússia
89,90,Rússia
90,91,Egito
91,92,Egito
92,93,Egito
93,94,Egito
94,95,China
95,96,China
96,97,China
97,98,Índia
98,99,Índia
99,100,Índia
100,101,Índia
101,102,Índia
102,103,França
103,104,Índia
104,105,Índia
105,106,Brasil
106,107,EUA
107,108,EUA
108,109,Itália
109,110,Itália
110,111,Inglaterra
111,112,Inglaterra
112,113,Canadá
113,114,México
114,115,México
115,116,México
116,117,Brasil
117,118,Brasil
118,119,Rússia
119,120,Brasil
120,121,EUA
121,122,EUA
122,123,EUA
123,124,Inglaterra
124,125,Brasil
125,126,Inglaterra
126,127,Rússia
127,128,Rússia
128,129,Rússia
129,130,Canadá
130,131,Canadá
131,132,Canadá
132,133,Uruguai
133,134,Uruguai
134,135,China
135,136,EUA
136,137,Brasil
137,138,Brasil
138,139,Brasil
139,140,Brasil
140,141,China
141,142,China
142,143,EUA
143,144,Suiça
144,145,Brasil
145,146,Brasil
146,147,Brasil
147,148,EUA
148,149,Brasil
149,150,França
150,151,França
151,152,África do Sul
152,153,África do Sul
153,154,EUA
154,155,Austrália
155,156,Austrália
156,157,Japão
157,158,Japão
158,159,Austrália
159,160,Austrália
160,161,EUA
161,162,Egito
162,163,Egito
163,164,Uruguai
164,165,Uruguai
165,166,França
166,167,Uruguai
167,168,Brasil
168,169,Chile
169,170,Chile
170,171,Rússia
171,172,Rússia
172,173,China
173,174,China
174,175,Austrália
175,176,Índia
176,177,Índia
177,178,Chile
178,179,África do Sul
179,180,África do Sul
180,181,África do Sul
181,182,Argentina
182,183,Uruguai
183,184,Canadá
184,185,Japão
185,186,Japão
186,187,Índia
187,188,Índia
188,189,Itália
189,190,Itália
190,191,Uruguai
191,192,Uruguai
192,193,EUA
193,194,EUA
194,195,Canadá
195,196,França
196,197,França
197,198,Chile
198,199,Chile
199,200,Suiça
200,201,Rússia
201,202,Uruguai
202,203,África do Sul
203,204,África do Sul
204,205,Itália
205,206,Japão
206,207,Japão
207,208,Alemanha
208,209,Alemanha
209,210,Itália
210,211,Uruguai
211,212,Suiça
212,213,Itália
213,214,Itália
214,215,Austrália
215,216,Alemanha
216,217,Austrália
217,218,Austrália
218,219,Suiça
219,220,EUA
220,221,EUA
221,222,França
222,223,França
223,224,Índia
224,225,Índia
225,226,Canadá
226,227,Canadá
227,228,Canadá
228,229,Brasil
229,230,Brasil
230,231,Rússia
231,232,Brasil
232,233,Brasil
233,234,Brasil
234,235,Chile
235,236,Chile
236,237,Brasil
237,238,Brasil
238,239,Brasil
239,240,Argentina
240,241,Argentina
241,242,Egito
242,243,Egito
243,244,África do Sul
244,245,África do Sul
245,246,China
246,247,Austrália
247,248,Austrália
248,249,China
249,250,Brasil
250,251,EUA
251,252,EUA
252,253,EUA
253,254,Brasil
254,255,Argentina
255,256,Brasil
256,257,Brasil
257,258,Suiça
258,259,Índia
259,260,Índia
260,261,Inglaterra
261,262,Inglaterra
262,263,EUA
263,264,Brasil
264,265,Brasil
265,266,Brasil
266,267,EUA
267,268,Índia
268,269,Índia
269,270,Índia
270,271,França
271,272,França
272,273,Inglaterra
273,274,Inglaterra
274,275,Inglaterra
275,276,Itália
276,277,Brasil
277,278,Brasil
278,279,Austrália
279,280,Austrália
280,281,Austrália
281,282,Suiça
282,283,Suiça
283,284,EUA
284,285,EUA
285,286,Suiça
286,287,Suiça
287,288,Uruguai
288,289,Uruguai
289,290,Uruguai
290,291,Brasil
291,292,China
292,293,China
293,294,China
294,295,Japão
295,296,Brasil
296,297,Brasil
297,298,EUA
298,299,EUA
299,300,Brasil
